! 12C range in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
55.000000	8439.14   	55.000000	8404.9    	55.000000	8442.83   	55.000000	8434.94   	55.000000	8474.96   	55.000000	51.4577   	55.000000	25.9297   	55.000000	54.7673   	55.000000	53.222    	55.000000	54.2707   	
60.000000	9863.41   	60.000000	9832.01   	60.000000	9873.59   	60.000000	9867.08   	60.000000	9912.09   	60.000000	60.2279   	60.000000	30.1005   	60.000000	63.9767   	60.000000	61.7907   	60.000000	63.5211   	
65.000000	11383.4   	65.000000	11356.4   	65.000000	11401.3   	65.000000	11396.6   	65.000000	11446.4   	65.000000	69.5757   	65.000000	34.5177   	65.000000	73.7987   	65.000000	70.8874   	65.000000	73.4111   	
70.000000	12996.7   	70.000000	12975.7   	70.000000	13023.6   	70.000000	13021.3   	70.000000	13075.7   	70.000000	79.4825   	70.000000	39.1774   	70.000000	84.2166   	70.000000	80.4969   	70.000000	83.9265   	
75.000000	14701.5   	75.000000	14687.8   	75.000000	14738.3   	75.000000	14738.9   	75.000000	14797.7   	75.000000	89.9304   	75.000000	44.0717   	75.000000	95.2146   	75.000000	90.6054   	75.000000	95.0539   	
80.000000	16495.5   	80.000000	16490.4   	80.000000	16543.4   	80.000000	16547.5   	80.000000	16610.5   	80.000000	100.903   	80.000000	49.1894   	80.000000	106.778   	80.000000	101.2     	80.000000	106.781   	
85.000000	18377     	85.000000	18381.7   	85.000000	18437.1   	85.000000	18445.1   	85.000000	18512     	85.000000	112.383   	85.000000	54.5282   	85.000000	118.892   	85.000000	112.268   	85.000000	119.095   	
90.000000	20344.3   	90.000000	20359.6   	90.000000	20417.3   	90.000000	20429.9   	90.000000	20500.5   	90.000000	124.355   	90.000000	60.0822   	90.000000	131.543   	90.000000	123.798   	90.000000	131.984   	
95.000000	22395.6   	95.000000	22422.4   	95.000000	22482.3   	95.000000	22500.1   	95.000000	22574.2   	95.000000	136.804   	95.000000	65.8424   	95.000000	144.717   	95.000000	135.779   	95.000000	145.437   	
100.000000	24529.3   	100.000000	24568.2   	100.000000	24630.6   	100.000000	24653.9   	100.000000	24731.3   	100.000000	149.715   	100.000000	71.8043   	100.000000	158.402   	100.000000	148.2     	100.000000	159.444   	
105.000000	26744     	105.000000	26795.4   	105.000000	26860.5   	105.000000	26889.7   	105.000000	26970.2   	105.000000	163.075   	105.000000	77.9625   	105.000000	172.585   	105.000000	161.05    	105.000000	173.993   	
110.000000	29038.1   	110.000000	29102.4   	110.000000	29170.4   	110.000000	29206     	110.000000	29289.4   	110.000000	176.869   	110.000000	84.3131   	110.000000	187.255   	110.000000	174.321   	110.000000	189.074   	
115.000000	31410.4   	115.000000	31487.5   	115.000000	31558.5   	115.000000	31601.2   	115.000000	31687.2   	115.000000	191.085   	115.000000	90.8494   	115.000000	202.399   	115.000000	188.003   	115.000000	204.678   	
120.000000	33859.4   	120.000000	33949.3   	120.000000	34023.5   	120.000000	34073.9   	120.000000	34162.3   	120.000000	205.71    	120.000000	97.5634   	120.000000	218.006   	120.000000	202.086   	120.000000	220.795   	
125.000000	36384     	125.000000	36486.2   	125.000000	36564.2   	125.000000	36622.5   	125.000000	36713.1   	125.000000	220.732   	125.000000	104.456   	125.000000	234.065   	125.000000	216.562   	125.000000	237.415   	
