! 2H range in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
85.000000	110698    	85.000000	110884    	85.000000	111336    	85.000000	111381    	85.000000	111794    	85.000000	1661.34   	85.000000	802.187   	85.000000	1955.29   	85.000000	1649.15   	85.000000	1904.62   	
90.000000	122581    	90.000000	122836    	90.000000	123329    	90.000000	123380    	90.000000	123836    	90.000000	1838.66   	90.000000	883.977   	90.000000	2164.69   	90.000000	1819.72   	90.000000	2111.2    	
95.000000	134973    	95.000000	135299    	95.000000	135836    	95.000000	135894    	95.000000	136395    	95.000000	2023.08   	95.000000	968.774   	95.000000	2382.79   	95.000000	1996.99   	95.000000	2326.79   	
100.000000	147863    	100.000000	148265    	100.000000	148847    	100.000000	148914    	100.000000	149461    	100.000000	2214.37   	100.000000	1056.5    	100.000000	2609.38   	100.000000	2180.8    	100.000000	2551.2    	
105.000000	161242    	105.000000	161722    	105.000000	162354    	105.000000	162429    	105.000000	163023    	105.000000	2412.33   	105.000000	1147.15   	105.000000	2844.26   	105.000000	2371.01   	105.000000	2784.28   	
110.000000	175101    	110.000000	175661    	110.000000	176347    	110.000000	176430    	110.000000	177073    	110.000000	2616.75   	110.000000	1240.64   	110.000000	3087.23   	110.000000	2567.45   	110.000000	3025.85   	
115.000000	189433    	115.000000	190073    	115.000000	190816    	115.000000	190908    	115.000000	191600    	115.000000	2827.44   	115.000000	1336.89   	115.000000	3338.09   	115.000000	2770      	115.000000	3275.75   	
120.000000	204229    	120.000000	204947    	120.000000	205752    	120.000000	205854    	120.000000	206596    	120.000000	3044.21   	120.000000	1435.75   	120.000000	3596.66   	120.000000	2978.53   	120.000000	3533.84   	
125.000000	219482    	125.000000	220276    	125.000000	221148    	125.000000	221258    	125.000000	222053    	125.000000	3266.89   	125.000000	1537.17   	125.000000	3862.75   	125.000000	3192.89   	125.000000	3799.95   	
130.000000	235183    	130.000000	236051    	130.000000	236993    	130.000000	237114    	130.000000	237961    	130.000000	3495.28   	130.000000	1641.16   	130.000000	4136.2    	130.000000	3412.98   	130.000000	4073.95   	
135.000000	251326    	135.000000	252262    	135.000000	253282    	135.000000	253412    	135.000000	254313    	135.000000	3729.24   	135.000000	1747.65   	135.000000	4416.82   	135.000000	3638.66   	135.000000	4355.68   	
140.000000	267905    	140.000000	268903    	140.000000	270004    	140.000000	270145    	140.000000	271101    	140.000000	3968.58   	140.000000	1856.53   	140.000000	4704.46   	140.000000	3869.83   	140.000000	4645.01   	
145.000000	284912    	145.000000	285966    	145.000000	287152    	145.000000	287304    	145.000000	288316    	145.000000	4213.15   	145.000000	1967.74   	145.000000	4998.96   	145.000000	4106.36   	145.000000	4941.82   	
150.000000	302341    	150.000000	303442    	150.000000	304718    	150.000000	304884    	150.000000	305953    	150.000000	4462.8    	150.000000	2081.24   	150.000000	5300.15   	150.000000	4348.16   	150.000000	5245.95   	
