! 1H range in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
95.000000	67519.8   	95.000000	67683.2   	95.000000	67951.7   	95.000000	67980.7   	95.000000	68231.3   	95.000000	1430.89   	95.000000	685.196   	95.000000	1628.18   	95.000000	1412.62   	95.000000	1595.22   	
100.000000	73968     	100.000000	74169.3   	100.000000	74460.7   	100.000000	74493.8   	100.000000	74767.4   	100.000000	1566.19   	100.000000	747.247   	100.000000	1783.02   	100.000000	1542.64   	100.000000	1749.3    	
105.000000	80660.9   	105.000000	80901.3   	105.000000	81217.5   	105.000000	81254.9   	105.000000	81552     	105.000000	1706.2    	105.000000	811.361   	105.000000	1943.51   	105.000000	1677.19   	105.000000	1909.34   	
110.000000	87594.2   	110.000000	87874.3   	110.000000	88217.2   	110.000000	88258.9   	110.000000	88580.2   	110.000000	1850.78   	110.000000	877.485   	110.000000	2109.53   	110.000000	1816.15   	110.000000	2075.24   	
115.000000	94763.7   	115.000000	95083.6   	115.000000	95455.3   	115.000000	95501.5   	115.000000	95847.6   	115.000000	1999.8    	115.000000	945.558   	115.000000	2280.95   	115.000000	1959.42   	115.000000	2246.87   	
120.000000	102165    	120.000000	102525    	120.000000	102927    	120.000000	102978    	120.000000	103349    	120.000000	2153.12   	120.000000	1015.48   	120.000000	2457.63   	120.000000	2106.92   	120.000000	2424.14   	
125.000000	109795    	125.000000	110193    	125.000000	110629    	125.000000	110684    	125.000000	111082    	125.000000	2310.61   	125.000000	1087.21   	125.000000	2639.46   	125.000000	2258.56   	125.000000	2606.94   	
130.000000	117650    	130.000000	118084    	130.000000	118556    	130.000000	118616    	130.000000	119040    	130.000000	2472.15   	130.000000	1160.76   	130.000000	2826.3    	130.000000	2414.24   	130.000000	2795.17   	
135.000000	125726    	135.000000	126194    	135.000000	126704    	135.000000	126769    	135.000000	127220    	135.000000	2637.62   	135.000000	1236.08   	135.000000	3018.06   	135.000000	2573.88   	135.000000	2988.74   	
140.000000	134019    	140.000000	134518    	140.000000	135069    	140.000000	135139    	140.000000	135618    	140.000000	2806.91   	140.000000	1313.09   	140.000000	3214.61   	140.000000	2737.4    	140.000000	3187.54   	
145.000000	142527    	145.000000	143054    	145.000000	143647    	145.000000	143724    	145.000000	144230    	145.000000	2979.89   	145.000000	1391.75   	145.000000	3415.84   	145.000000	2904.72   	145.000000	3391.48   	
150.000000	151246    	150.000000	151796    	150.000000	152435    	150.000000	152518    	150.000000	153052    	150.000000	3156.46   	150.000000	1472.02   	150.000000	3621.64   	150.000000	3075.75   	150.000000	3600.48   	
155.000000	160203    	155.000000	160742    	155.000000	161429    	155.000000	161518    	155.000000	162082    	155.000000	3336.52   	155.000000	1553.89   	155.000000	3831.92   	155.000000	3250.44   	155.000000	3814.45   	
160.000000	169356    	160.000000	169888    	160.000000	170625    	160.000000	170721    	160.000000	171314    	160.000000	3519.95   	160.000000	1637.3    	160.000000	4046.57   	160.000000	3428.7    	160.000000	4033.29   	
165.000000	178700    	165.000000	179230    	165.000000	180021    	165.000000	180123    	165.000000	180746    	165.000000	3706.67   	165.000000	1722.24   	165.000000	4265.49   	165.000000	3610.46   	165.000000	4256.93   	
170.000000	188232    	170.000000	188765    	170.000000	189612    	170.000000	189721    	170.000000	190375    	170.000000	3896.57   	170.000000	1808.65   	170.000000	4488.58   	170.000000	3795.65   	170.000000	4485.29   	
175.000000	197949    	175.000000	198489    	175.000000	199396    	175.000000	199512    	175.000000	200196    	175.000000	4089.56   	175.000000	1896.45   	175.000000	4715.76   	175.000000	3984.22   	175.000000	4718.27   	
180.000000	207847    	180.000000	208400    	180.000000	209369    	180.000000	209493    	180.000000	210208    	180.000000	4285.55   	180.000000	1985.66   	180.000000	4946.93   	180.000000	4176.08   	180.000000	4955.81   	
185.000000	217923    	185.000000	218494    	185.000000	219529    	185.000000	219659    	185.000000	220406    	185.000000	4484.44   	185.000000	2076.27   	185.000000	5181.99   	185.000000	4371.19   	185.000000	5197.82   	
190.000000	228175    	190.000000	228768    	190.000000	229872    	190.000000	230009    	190.000000	230788    	190.000000	4686.16   	190.000000	2168.21   	190.000000	5420.88   	190.000000	4569.47   	190.000000	5444.24   	
195.000000	238600    	195.000000	239220    	195.000000	240395    	195.000000	240540    	195.000000	241351    	195.000000	4890.62   	195.000000	2261.44   	195.000000	5663.49   	195.000000	4770.87   	195.000000	5694.98   	
200.000000	249194    	200.000000	249846    	200.000000	251095    	200.000000	251248    	200.000000	252091    	200.000000	5097.74   	200.000000	2355.98   	200.000000	5909.75   	200.000000	4975.33   	200.000000	5949.98   	
