energy_mev,eqr15_nonlinearity_pct,eqr20_nonlinearity_pct,hamamatsu_nonlinearity_pct,rayquant_nonlinearity_pct
202.501786,12.444633,21.204452,19.078824,63.938600
203.001667,12.472686,21.248798,19.119498,64.008391
203.501548,12.500726,21.293109,19.160143,64.077959
204.001429,12.528754,21.337385,19.200760,64.147304
204.501310,12.556771,21.381627,19.241348,64.216428
205.001190,12.584774,21.425834,19.281909,64.285331
205.501071,12.612766,21.470006,19.322441,64.354014
206.000952,12.640745,21.514144,19.362945,64.422477
206.500833,12.668712,21.558248,19.403421,64.490723
207.000714,12.696667,21.602316,19.443868,64.558751
207.500595,12.724610,21.646351,19.484288,64.626563
208.000476,12.752540,21.690351,19.524680,64.694159
208.500357,12.780459,21.734316,19.565043,64.761540
209.000238,12.808365,21.778247,19.605378,64.828708
209.500119,12.836259,21.822144,19.645686,64.895662
210.000000,12.864140,21.866007,19.685965,64.962405
