rotation_axis,rotation_deg,raw_rank,effective_rank,smallest_singular,smallest_nonzero_singular,condition_number,fisher_pseudo_determinant,null_intersection_dimension,principal_angles_deg
y,156,5,5,54698.500955799725,54698.500955799725,4.7046301094784528,2.879166113339394e+24,0,"24.000000000000053"
y,158,5,5,50199.033901982111,50199.033901982111,5.144554015970308,2.3619193300041833e+24,0,"22.000000000000046"
y,160,5,5,45684.275736148971,45684.275736148971,5.6712818196177075,1.9046700863055516e+24,0,"20.00000000000005"
y,162,5,5,41155.601697373095,41155.601697373095,6.313751514675042,1.5052743699694234e+24,0,"18.000000000000071"
y,164,5,5,36614.391263636971,36614.391263636971,7.1153697223841981,1.1609580538031727e+24,0,"15.999999999999973"
y,166,5,5,32062.02773163026,32062.02773163026,8.1443464279745985,8.6850333923636012e+23,0,"14.000000000000027"
y,168,5,5,27499.897795384786,27499.897795384786,9.5143644542225729,6.2444650620734642e+23,0,"12.000000000000018"
y,170,5,5,22929.391123873247,22929.391123873247,11.43005230276135,4.2527866889860285e+23,0,"9.9999999999999769"
y,172,5,5,18351.899937703482,18351.899937703482,14.300666256711894,2.6764110224936115e+23,0,"7.9999999999999805"
y,174,5,5,13768.818585033792,13768.818585033792,19.081136687728151,1.4850692532572639e+23,0,"6.0000000000002691"
y,176,5,5,9181.5431168415398,9181.5431168415398,28.636253282915501,6.5341495930263658e+22,0,"4.0000000000001323"
y,178,5,5,4591.470861672271,4591.470861672271,57.289961630759485,1.6234762803170177e+22,0,"1.999999999999583"
y,180,4,4,4.8237812881205565e-11,150727.45382561412,1.7454368927210109,2.5313952840529956e+20,1,"1.2074182697257333e-06"
